ORDER_ID,CITY,COST
4,Paris,332.27
5,Paris,79.30
7,New York,119.30
8,London,134.46
9,Dubai,309.70
10,Venice,133.33
12,New York,104.01
14,London,232.61
16,Paris,60.04
17,Madrid,185.98
18,Venice,29.65
19,Paris,292.41
20,Paris,232.22
22,Dubai,257.47
23,Paris,305.41
24,New York,171.89
25,Madrid,263.39
26,New York,206.61
29,Paris,168.11
30,London,191.30
31,Venice,156.74
32,New York,201.79
33,London,316.28
34,Paris,278.00
35,New York,230.58
36,London,240.30
37,London,141.00
39,Venice,71.89
40,Venice,135.75
43,Dubai,145.27
44,Madrid,260.22
46,New York,143.40
50,London,189.24
51,Venice,95.21
52,London,291.37
53,London,125.88
55,Berlin,152.78
56,Venice,81.09
59,Dubai,84.71
60,Madrid,96.91
61,Amsterdam,105.39
62,New York,330.34
64,New York,254.39
65,Paris,231.71
67,Paris,68.57
68,Venice,179.80
69,Paris,301.95
71,Madrid,72.51
72,Berlin,303.27
73,London,231.50
74,London,32.39
75,Madrid,202.59
76,London,252.95
77,Venice,241.83
78,Berlin,316.40
79,Madrid,112.76
80,Venice,97.82
82,Paris,308.39
83,Venice,140.45
85,Madrid,237.87
86,Venice,193.74
88,Venice,243.77
89,London,61.81
90,Paris,127.12
91,Madrid,223.20
92,London,42.69
94,New York,166.64
95,Paris,208.30
96,Venice,248.21
97,Dubai,120.16
98,Venice,92.61
99,New York,47.02
100,Paris,120.81
101,Venice,108.30
103,Madrid,50.26
104,Venice,19.10
106,Paris,109.22
107,Venice,30.81
109,Paris,124.75
110,Dubai,81.95
111,London,25.93
113,London,49.80
114,Venice,239.28
115,Paris,52.16
116,Paris,159.81
119,Paris,152.60
120,Paris,122.48
121,New York,46.52
122,Rome,95.13
123,Venice,143.98
124,Venice,235.84
125,Amsterdam,229.80
126,Venice,282.52
128,Madrid,180.93
129,London,95.05
130,Berlin,146.45
131,Venice,175.73
132,Paris,329.91
137,Venice,156.76
138,Venice,190.08
139,Berlin,312.50
141,Venice,105.24
142,Paris,111.21
143,London,261.92
144,Venice,77.19
145,New York,241.56
146,Madrid,116.17
148,London,86.38
150,Madrid,232.06
153,Paris,263.66
154,Paris,44.35
155,London,88.49
156,Berlin,220.43
157,New York,322.70
158,Dubai,180.47
160,London,230.54
162,Venice,203.42
163,Paris,45.79
164,Paris,33.50
165,Paris,230.19
166,Berlin,119.49
167,Berlin,86.70
170,Venice,88.31
172,Madrid,96.91
173,Madrid,302.17
174,Madrid,278.90
176,Madrid,176.19
177,Madrid,227.75
178,Paris,74.31
179,Madrid,160.81
181,Venice,62.41
182,Paris,286.26
183,Paris,99.72
184,Berlin,86.16
185,Madrid,176.08
186,Madrid,131.86
189,Venice,67.71
190,London,32.33
191,Dubai,294.25
192,Venice,316.50
193,Madrid,189.27
194,London,123.30
195,New York,156.79
197,Venice,115.88
199,Paris,60.54
200,Berlin,89.99
203,London,91.55
204,Madrid,263.04
205,Madrid,289.40
206,Venice,251.68
208,Amsterdam,116.51
209,New York,257.79
210,Paris,113.40
211,Paris,67.56
212,Madrid,245.97
213,Paris,59.32
214,Venice,196.21
215,Dubai,118.89
216,Dubai,78.26
218,Madrid,198.66
219,Rome,87.31
220,Dubai,63.26
221,Dubai,129.50
223,Paris,239.09
224,Madrid,312.90
225,Venice,310.95
226,London,87.32
227,Paris,71.25
228,New York,275.10
229,Paris,112.09
230,Berlin,295.75
232,Paris,113.37
234,London,142.59
235,Venice,289.49
236,London,323.49
238,Venice,73.54
240,Venice,127.18
242,London,61.88
243,Dubai,102.12
245,New York,203.84
246,Paris,318.22
249,Dubai,167.30
250,Paris,144.72
251,Dubai,74.42
252,Venice,44.68
253,New York,272.33
256,New York,160.66
257,London,78.35
258,Madrid,280.30
259,Dubai,108.04
260,Paris,41.88
261,Venice,108.26
263,Venice,65.51
264,London,174.23
266,London,22.55
267,Venice,24.75
268,Amsterdam,17.23
271,New York,257.96
273,Paris,121.36
274,Dubai,12.85
275,London,241.61
277,Venice,82.00
278,Madrid,267.73
